collapse.love,Collapse Field,Xcmd,0.0.7,http://love2d.org/forum/download/file.php?id=786
netris.love,Netris,Bart Bes,0.9,http://love2d.org/forum/download/file.php?id=838
jump7.love,Jump Game,Robin Wellner,v7,http://www.nanosleep.net/love/loves/1246461652.jump7.love
k3.love;k3 - the laser game;kaishaku;r3;http://kaishaku.org/love/k3-r3.love
